Age ,Gender,AcademicPerformance,TakingNoteInClass,DepressionStatus,FaceChallangesToCompleteAcademicTask,LikePresentation,SleepPerDayHours,NumberOfFriend,LikeNewThings
23,Male,Average,No,Sometimes,Yes,Yes,12,,Yes
23,Male,Excellent,Sometimes,Yes,No,Yes,8,80,Yes
24,Male,Average,No,Sometimes,Sometimes,No,8,10,Yes
20,Female,Good,Yes,Sometimes,Yes,No,5,15,Yes
24,Female,Average,Yes,Yes,Yes,Yes,5,2,Yes
23,Male,Good,Sometimes,Sometimes,No,Yes,8,12,Yes
21,Female,Good,Yes,No,No,No,8,7,Yes
21,Male,Average,Sometimes,Yes,Sometimes,No,8,6,Yes
24,Male,Excellent,No,No,No,Yes,8,3,Yes
23,Female,Average,Yes,Sometimes,Sometimes,Yes,8,4,Yes
22,Male,Average,Yes,Yes,Sometimes,Yes,4,60,Yes
22,Male,Excellent,Sometimes,Sometimes,Yes,Yes,7,55,Yes
24,Male,Average,Yes,Sometimes,Sometimes,Yes,7,17,Yes
24,Female,Good,Yes,Yes,Yes,Yes,5,3,Yes
21,Female,Below average,Yes,Yes,Yes,No,5,1,Yes
25,Female,Average,Yes,Yes,Yes,Yes,5,3,Yes
24,Male,Average,Sometimes,No,Yes,Yes,7,100,Yes
20,Male,Good,No,Sometimes,No,Yes,7,7,Yes
22,Female,Average,Yes,No,No,Yes,7,3,Yes
21,Female,Good,Yes,Yes,Sometimes,Yes,4,2,Yes
21,Male,Good,Yes,Sometimes,Yes,Yes,6,4,Yes
21,Female,Good,Yes,Yes,No,Yes,6,6,Yes
25,Male,Good,Yes,Sometimes,No,Yes,4,9,No
21,Male,Good,Yes,No,Sometimes,No,10,23,Yes
21,Female,Average,Yes,Sometimes,Sometimes,Yes,7,,Yes
25,Male,Average,Sometimes,Sometimes,Sometimes,No,7,0,No
23,Male,Good,Sometimes,Sometimes,Sometimes,No,5,12,No
25,Male,Average,Sometimes,Sometimes,Yes,No,8,15,Yes
21,Male,Average,Yes,Sometimes,Yes,Yes,8,7,Yes
23,Male,Good,Yes,No,No,Yes,8,3,Yes
23,Female,Average,Sometimes,Sometimes,Yes,No,8,0,Yes
23,Female,Average,Sometimes,Yes,Sometimes,No,8,2,No
23,Male,Average,No,Sometimes,Yes,Yes,12,,Yes
23,Male,Excellent,Sometimes,Yes,No,Yes,8,80,Yes
24,Male,Average,No,Sometimes,Sometimes,No,8,10,Yes
20,Female,Good,Yes,Sometimes,Yes,No,5,15,Yes
24,Female,Average,Yes,Yes,Yes,Yes,5,2,Yes
23,Male,Good,Sometimes,Sometimes,No,Yes,8,12,Yes
21,Female,Good,Yes,No,No,No,8,7,Yes
21,Male,Average,Sometimes,Yes,Sometimes,No,8,6,Yes
24,Male,Excellent,No,No,No,Yes,8,3,Yes
23,Female,Average,Yes,Sometimes,Sometimes,Yes,8,4,Yes
22,Male,Average,Yes,Yes,Sometimes,Yes,4,60,Yes
22,Male,Excellent,Sometimes,Sometimes,Yes,Yes,7,55,Yes
24,Male,Average,Yes,Sometimes,Sometimes,Yes,7,17,Yes
24,Female,Good,Yes,Yes,Yes,Yes,5,3,Yes
21,Female,Below average,Yes,Yes,Yes,No,5,1,Yes
25,Female,Average,Yes,Yes,Yes,Yes,5,3,Yes
24,Male,Average,Sometimes,No,Yes,Yes,7,100,Yes
20,Male,Good,No,Sometimes,No,Yes,7,7,Yes
22,Female,Average,Yes,No,No,Yes,7,3,Yes
21,Female,Good,Yes,Yes,Sometimes,Yes,4,2,Yes
21,Male,Good,Yes,Sometimes,Yes,Yes,6,4,Yes
21,Female,Good,Yes,Yes,No,Yes,6,6,Yes
25,Male,Good,Yes,Sometimes,No,Yes,4,9,No
21,Male,Good,Yes,No,Sometimes,No,10,23,Yes
21,Female,Average,Yes,Sometimes,Sometimes,Yes,7,,Yes
25,Male,Average,Sometimes,Sometimes,Sometimes,No,7,0,No
23,Male,Good,Sometimes,Sometimes,Sometimes,No,5,12,No
25,Male,Average,Sometimes,Sometimes,Yes,No,8,15,Yes
21,Male,Average,Yes,Sometimes,Yes,Yes,8,7,Yes
23,Male,Good,Yes,No,No,Yes,8,3,Yes
23,Female,Average,Sometimes,Sometimes,Yes,No,8,0,Yes
23,Female,Average,Sometimes,Yes,Sometimes,No,8,2,No
23,Male,Excellent,Sometimes,Yes,No,Yes,8,80,Yes
24,Male,Average,No,Sometimes,Sometimes,No,8,10,Yes
20,Female,Good,Yes,Sometimes,Yes,No,5,15,Yes
24,Female,Average,Yes,Yes,Yes,Yes,5,2,Yes
23,Male,Good,Sometimes,Sometimes,No,Yes,8,12,Yes
21,Female,Good,Yes,No,No,No,8,7,Yes
21,Male,Average,Sometimes,Yes,Sometimes,No,8,6,Yes
24,Male,Excellent,No,No,No,Yes,8,3,Yes
23,Female,Average,Yes,Sometimes,Sometimes,Yes,8,4,Yes
22,Male,Average,Yes,Yes,Sometimes,Yes,4,60,Yes
22,Male,Excellent,Sometimes,Sometimes,Yes,Yes,7,55,Yes
24,Male,Average,Yes,Sometimes,Sometimes,Yes,7,17,Yes
24,Female,Good,Yes,Yes,Yes,Yes,5,3,Yes
21,Female,Below average,Yes,Yes,Yes,No,5,1,Yes
25,Female,Average,Yes,Yes,Yes,Yes,5,3,Yes
24,Male,Average,Sometimes,No,Yes,Yes,7,100,Yes
20,Male,Good,No,Sometimes,No,Yes,7,7,Yes
22,Female,Average,Yes,No,No,Yes,7,3,Yes
21,Female,Good,Yes,Yes,Sometimes,Yes,4,2,Yes
21,Male,Good,Yes,Sometimes,Yes,Yes,6,4,Yes
21,Female,Good,Yes,Yes,No,Yes,6,6,Yes
25,Male,Good,Yes,Sometimes,No,Yes,4,9,No
21,Male,Good,Yes,No,Sometimes,No,10,23,Yes
24,Female,Good,Yes,Yes,Yes,Yes,5,3,Yes
21,Female,Below average,Yes,Yes,Yes,No,5,1,Yes
25,Female,Average,Yes,Yes,Yes,Yes,5,3,Yes
24,Male,Average,Sometimes,No,Yes,Yes,7,100,Yes
20,Male,Good,No,Sometimes,No,Yes,7,7,Yes
22,Female,Average,Yes,No,No,Yes,7,3,Yes
21,Female,Good,Yes,Yes,Sometimes,Yes,4,2,Yes
21,Male,Good,Yes,Sometimes,Yes,Yes,6,4,Yes
21,Female,Good,Yes,Yes,No,Yes,6,6,Yes
25,Male,Good,Yes,Sometimes,No,Yes,4,9,No
21,Male,Good,Yes,No,Sometimes,No,10,23,Yes
22,Female,Average,Yes,No,No,Yes,7,3,Yes
